CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Meio Ambiente,2010.0,1.0,Física,2000.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2012.0,2.0,"Engenharia Metalúrgica, Materiais E De Minas",2020.0,1.0
Meio Ambiente E Saneamento,1995.0,1.0,Administração,2011.0,2,Engenharia Elétrica (ufsj / Cefet-mg),2009.0,2.0,Urbanismo,2005.0,1.0
Metalurgia,1990.0,1.0,Engenharia De Computação,2007.0,2,Ciências Técnicas Nucleares,2011.0,2.0,Engenharia Metalúrgica E De Minas,2018.0,1.0
Mineração,2000.0,1.0,Engenharia De Computação,2008.0,2,Engenharia Química,2012.0,2.0,Wind Energy Systems,2016.0,1.0
Mineração,2003.0,1.0,Física,1991.0,2,Engenharia Elétrica,2008.0,2.0,Surface Engineering And Advanced Materials,2019.0,1.0
Mineração,2005.0,1.0,Engenharia De Computação,2011.0,2,Genética,2016.0,2.0,"Sociedade, Natureza E Desenvolvimento",2019.0,1.0
Mineração,2006.0,1.0,Engenharia De Computação,2012.0,2,Engenharia Mecânica,1988.0,2.0,Estatistica,2018.0,1.0
Mineração,2007.0,1.0,Engenharia De Controle E Automação,2005.0,2,Geologia,2011.0,2.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2016.0,1.0
Mineração,2008.0,1.0,Engenharia Civil,2002.0,2,Física,2002.0,2.0,Geografia E Gestão Ambiental,2006.0,1.0
Planejamento E Gestão Em Tecnologia Da Informação,2006.0,1.0,Engenharia Civil,2001.0,2,Engenharia Mecânica,2001.0,2.0,Química Orgânica E Biológica,2016.0,1.0
Planejamento E Gestão Em Tecnologia Da Informação,2007.0,1.0,Engenharia Civil,2000.0,2,Engenharia De Estruturas,2017.0,2.0,Recursos Hídricos E Saneamento Ambiental,1996.0,1.0
Informática Industrial,1991.0,1.0,Administração,2008.0,2,Engenharia Da Energia - Cefet/mg - Ufsj,2010.0,2.0,Recursos Pesqueiros E Engenharia De Pesca,2019.0,1.0
Processamento De Dados,1994.0,1.0,Física,2006.0,2,Física,1994.0,2.0,"Risk Evaluation Of Renewable Energy Assets, With A Focus On Wind Energy Ass",2020.0,1.0
Pós-médio Meio Ambiente,2004.0,1.0,Engenharia De Minas,2011.0,2,Engenharia De Materiais,1999.0,2.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2008.0,1.0
Quimica,1995.0,1.0,Engenharia Industrial Mecanica,1982.0,2,Engenharia Civil,2016.0,2.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2011.0,1.0
Quimica,1998.0,1.0,Engenharia Industrial Elétrica,2001.0,2,Engenharia De Materiais,2004.0,2.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2014.0,1.0
Quimica Industrial,1997.0,1.0,Matemática Computacional,2011.0,2,Engenharia Civil,2011.0,2.0,Saúde Pública E Meio Ambiente,2020.0,1.0
Quimica Industrial,1998.0,1.0,Engenharia Industrial Elétrica,2000.0,2,Engenharia Civil,2010.0,2.0,Estatística,2011.0,1.0
Quimica Industrial,2001.0,1.0,Letras - Português E Inglês,2003.0,2,Engenharia De Produção,1999.0,2.0,Estudos De Linguagem,2015.0,1.0
Química,1969.0,1.0,Sistemas De Informação,2010.0,2,Engenharia Civil,2004.0,2.0,Estudo De Linguagens,2018.0,1.0
Química,1976.0,1.0,Engenharia Ambiental E Sanitária,2018.0,2,Engenharia Civil,1998.0,2.0,Estudo De Linguagens,2016.0,1.0
Química,1980.0,1.0,Sistemas De Informação,2006.0,2,Geotecnia,2017.0,2.0,Estruturas,2010.0,1.0
Química,1983.0,1.0,Engenharia Industrial Elétrica,1996.0,2,Engenharia Mecânica,2014.0,2.0,Sistemas De Informação E Gestão Do Conhecimento,2019.0,1.0
Química,1987.0,1.0,Engenharia Industrial Elétrica,1995.0,2,Geotecnia E Transportes,2014.0,2.0,Estatística E Experimentação Agropecuária,2020.0,1.0
Química,1989.0,1.0,Engenharia Civil,1996.0,2,História,2007.0,2.0,Estatística,2015.0,1.0
Química,1999.0,1.0,Sistemas De Informação,2009.0,2,Enfermagem,2012.0,2.0,Sistemi Di Produzione & Design Industriale,2010.0,1.0
Química,2001.0,1.0,Tecnologia Em Radiologia,2001.0,2,Engenharia De Produção,2000.0,2.0,Geografia (organizacao Do Espaco),2009.0,1.0
Química,2003.0,1.0,Física,2009.0,2,Engenharia De Produção,2002.0,2.0,Química,2004.0,1.0
Informática Industrial,1992.0,1.0,Tecnologia Em Radiologia,2002.0,2,Engenharia De Produção,2006.0,2.0,Geografia Humana E Estudos Urbanos,2013.0,1.0
Estradas,1993.0,1.0,Engenharia De Produção Civil,2014.0,2,Engenharia Mecânica,2007.0,2.0,Programa De Pós-graduação Em Estudos Lingüísticos,2010.0,1.0
Informática Industrial,1989.0,1.0,Engenharia Elétrica,2000.0,2,Engenharia Mecânica,2010.0,2.0,Phd,2015.0,1.0
 Química Industrial,2002.0,1.0,Arquitetura E Urbanismo,2009.0,2,Evolução Crustal E Recursos Naturais,2015.0,2.0,Performances Culturais,2019.0,1.0
Automação Industrial,2015.0,1.0,Ciência Da Computação,1997.0,2,Estudos Literários,2011.0,2.0,Neuroquímica,2014.0,1.0
Automação Industrial,2011.0,1.0,Arquitetura E Urbanismo,2007.0,2,Engenharia Elétrica,1993.0,2.0,Neurociências,2014.0,1.0
Agroindústria,2007.0,1.0,Engenharia Química,2010.0,2,Engenharia Mecânica,1996.0,2.0,Música,2021.0,1.0
Administração E Contabilidade,1997.0,1.0,Arquitetura E Urbanismo,2005.0,2,Engenharia De Estruturas,2014.0,2.0,Música,2015.0,1.0
Administração De Empresas Com Ênfase Em Gestão De Negócios,2010.0,1.0,Engenharia Elétrica,2001.0,2,Engenharia De Materiais,2018.0,2.0,Mundo Antigo,2009.0,1.0
Administração De Empresas,2008.0,1.0,Engenharia Química,2012.0,2,Engenharia Metalúrgica E De Minas,2015.0,2.0,Programa De Pós-graduação Em Letras Da Ufmg / Estudos Literários,2008.0,1.0
