CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
 Industrial Em Eletrônica,1996.0,1,Engenharia Mecânica,1999.0,1.0,,,,,,
 Industrial Em Mecânica,1973.0,1, Especial De Formação De Professores,1994.0,1.0,,,,,,
 Industrial Em Quimica,1997.0,1,Engenharia Industrial Mecânica,1986.0,1.0,,,,,,
 Industrial Em Química,1997.0,1,Engenharia Industrial Eletrica,1999.0,1.0,,,,,,
 Industrial Em Química,2007.0,1,Engenharia Industrial Mecanica,2006.0,1.0,,,,,,
 Industrial Em Saneamento,1997.0,1,Engenharia Industrial Eletrica,2000.0,1.0,,,,,,
 Mecânica,1978.0,1,Engenharia Industrial Eletrica,2002.0,1.0,,,,,,
 Mecânica Industrial,2006.0,1,Engenharia Industrial Eletrica,2010.0,1.0,,,,,,
 Mecânico,1984.0,1,Engenharia Industrial Elétrica,1986.0,1.0,,,,,,
 Mecânico,1989.0,1,Engenharia Industrial Elétrica,1988.0,1.0,,,,,,
 Mecânico,1995.0,1,Engenharia Industrial Elétrica,1989.0,1.0,,,,,,
 Metalurgia,2003.0,1,Engenharia Industrial Elétrica,1991.0,1.0,,,,,,
Eletromecânica,1995.0,1,Engenharia Industrial Elétrica,1993.0,1.0,,,,,,
Eletromecânica,1999.0,1,Engenharia Industrial Elétrica,1994.0,1.0,,,,,,
Informática Industrial,2005.0,1,Engenharia Industrial Elétrica,1996.0,1.0,,,,,,
Eletromecânica,2001.0,1,Engenharia Industrial Elétrica,1998.0,1.0,,,,,,
Eletrônica,1989.0,1,Engenharia Industrial Elétrica,2001.0,1.0,,,,,,
Eletrônica,1990.0,1,Engenharia Industrial Elétrica,2004.0,1.0,,,,,,
Eletrônica,1991.0,1,Engenharia Industrial Elétrica,2010.0,1.0,,,,,,
Eletrônica,1997.0,1,Engenharia Industrial Mecanica,1984.0,1.0,,,,,,
Eletrônica,2000.0,1,Engenharia Industrial Mecanica,1986.0,1.0,,,,,,
Eletrônica,2008.0,1,Engenharia Industrial Mecanica,1994.0,1.0,,,,,,
Eletrônica,2009.0,1,Turismo E Hospitalidade,2009.0,1.0,,,,,,
Eletrônica,2010.0,1,,,,,,,,,
Eletrônica,2011.0,1,,,,,,,,,
Eletrônica Industrial,1993.0,1,,,,,,,,,
Eletrônica Industrial,1995.0,1,,,,,,,,,
Eletrônica Industrial,1996.0,1,,,,,,,,,
Equipamentos Biomédicos,2007.0,1,,,,,,,,,
Equipamentos Para A Área Da Saúde,2010.0,1,,,,,,,,,
Equipamentos Para A Área Da Sáude,2011.0,1,,,,,,,,,
Estradas,1994.0,1,,,,,,,,,
Estradas,2006.0,1,,,,,,,,,
Estradas,2009.0,1,,,,,,,,,
 /profissionalizante Em Edificações,2005.0,1,,,,,,,,,
Gestão Comercial,2007.0,1,,,,,,,,,
Gestão Em Serviços De Saúde,2007.0,1,,,,,,,,,
Informática,2000.0,1,,,,,,,,,
Informática,2011.0,1,,,,,,,,,
Informática - Sistemas De Análise Da Informação,2000.0,1,,,,,,,,,
Informática Industrial,1991.0,1,,,,,,,,,
Informática Industrial,1994.0,1,,,,,,,,,
Informática Industrial,2004.0,1,,,,,,,,,
