CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Química Industrial,1998.0,1.0,Engenharia Civil,2016.0,2,Engenharia De Produção,2002.0,2.0,Ciências Biológicas (fisiologia E Farmacologia),2015.0,1.0
Meio Ambiente,2008.0,1.0,Engenharia Civil,2011.0,2,Engenharia Elétrica,2004.0,2.0,Ciências Biológicas (microbiologia),2009.0,1.0
Meio Ambiente,2009.0,1.0,Engenharia Elétrica,2010.0,2,Ciências Técnicas Nucleares,2011.0,2.0,Ciências Da Computação,2012.0,1.0
Química Industrial,1997.0,1.0,Engenharia Eletrica,1992.0,2,Engenharia De Produção,2007.0,2.0,Ciências Da Computação,2017.0,1.0
Meio Ambiente,2012.0,1.0,Licenciatura Plena Para A Graduação De Professores,1989.0,2,Engenharia De Produção,2008.0,2.0,Ciências Da Computação,2020.0,1.0
Meio Ambiente E Saneamento,1997.0,1.0,Licenciatura Plena Para A Graduação De Professores,1992.0,2,Engenharia De Produção,2009.0,2.0,Ciências Da Informação,2013.0,1.0
Metalurgia,2001.0,1.0,Engenharia De Telecomunicações,2005.0,2,Genética,2018.0,2.0,Ciências Da Informação,2017.0,1.0
Mineração,2001.0,1.0,Pedagogia,2011.0,2,Física,2016.0,2.0,Ciências Da Informação,2018.0,1.0
Mineração,2005.0,1.0,Jornalismo,2010.0,2,Física,1998.0,2.0,Ciências De Alimentos,2021.0,1.0
Mineração,2007.0,1.0,Física,2007.0,2,Engenharia Elétrica,1995.0,2.0,Ciências Do Esporte,2017.0,1.0
Mineração,2008.0,1.0,Física,2011.0,2,Engenharia Elétrica,1998.0,2.0,Ciências Dos Alimentos,2005.0,1.0
  Mecânico,1978.0,1.0,Química,2002.0,2,Engenharia Elétrica,1999.0,2.0,Ciências Farmacêuticas,2005.0,1.0
Estradas,2009.0,1.0,Sistemas De Informação,2006.0,2,Ciências Técnicas Nucleares,2013.0,2.0,Ciências Farmacêuticas,2014.0,1.0
