Origem,Destino
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Departamento de Ciência da Computação/GRADUACAO/Ciencia Da Computacao
Departamento de Ciência da Computação/GRADUACAO/Ciencia Da Computacao,Departamento de Ciência da Computação/MESTRADO/Ciências Da Computação
Departamento de Ciência da Computação/MESTRADO/Ciências Da Computação,Universidade Estadual de Campinas/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Ciencia Da Computação
Centro Universitário de Belo Horizonte/GRADUACAO/Ciencia Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Anápolis/GRADUACAO/Ciência Da Computação
Centro Universitário de Anápolis/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal do Espírito Santo/MESTRADO/Engenharia Mecânica
Universidade Federal do Espírito Santo/MESTRADO/Engenharia Mecânica,Universidade de São Paulo/DOUTORADO/Engenharia Metalúrgica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais/DOUTORADO/ De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Da Parte De Formação Especial D
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Da Parte De Formação Especial D
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Da Parte De Formação Especial D,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Mato Grosso do Sul - CEUC/GRADUACAO/Administração
Universidade Federal de Mato Grosso do Sul - CEUC/GRADUACAO/Administração,Universidade Federal do Espírito Santo/MESTRADO/Administração
Universidade Federal do Espírito Santo/MESTRADO/Administração,Universidade Federal do Espírito Santo/DOUTORADO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Agronomia
Universidade Federal de Viçosa/GRADUACAO/Agronomia,Universidade Federal de Lavras/MESTRADO/Genética E Melhoramento De Plantas
