Origem,Destino
Universidade Federal de Lavras/MESTRADO/Genética E Melhoramento De Plantas,Universidade Federal de Lavras/DOUTORADO/Genética E Melhoramento De Plantas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontificia Universidade Catolica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Pontificia Universidade Catolica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenhari Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenhari Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica De Docentes - Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Quimica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Matemática Computacional
Universidade Federal de Minas Gerais/GRADUACAO/Matemática Computacional,Universidade Federal de Minas Gerais/MESTRADO/Matemática
Universidade Federal de Minas Gerais/MESTRADO/Matemática,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Formiga/GRADUACAO/Ciência Da Computação
Centro Universitário de Formiga/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Católica de Pernambuco/GRADUACAO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Católica de Pernambuco/GRADUACAO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para Graduação De Professores
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para Graduação De Professores,Universidade Federal da Paraíba/MESTRADO/Engenharia Urbana
Universidade Federal da Paraíba/MESTRADO/Engenharia Urbana,Universidade Federal de Pernambuco/DOUTORADO/Engenharia Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Educação Física
Universidade Federal de Minas Gerais/GRADUACAO/Educação Física,Universidade Estadual de Campinas/MESTRADO/Educação Física
Universidade Estadual de Campinas/MESTRADO/Educação Física,"Universidade Federal de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Educação: Conhecimento E Inclusão Social, Da F"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Unicentro Newton Paiva/GRADUACAO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Unicentro Newton Paiva/GRADUACAO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Unicentro Newton Paiva/GRADUACAO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Sanitária E Ambiental
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Sanitária E Ambiental,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia Manufatura Integrada Por Computador
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia Manufatura Integrada Por Computador,Universidade Federal de Minas Gerais/DOUTORADO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informaçao
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informaçao,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Matemática
Universidade Federal de Lavras/GRADUACAO/Matemática,Universidade Federal de Viçosa/MESTRADO/Matemática
Universidade Federal de Viçosa/MESTRADO/Matemática,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia Química
Centro Universitário do Leste de Minas Gerais/GRADUACAO/Engenharia Química,Universidade Federal de Viçosa/MESTRADO/Agroquímica
Universidade Federal de Viçosa/MESTRADO/Agroquímica,Universidade Federal de Viçosa/DOUTORADO/Agroquímica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física-licenciatura
Universidade Federal de Minas Gerais/GRADUACAO/Física-licenciatura,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Turismo
Universidade Federal de Ouro Preto/GRADUACAO/Turismo,"Universidade Federal de Minas Gerais/MESTRADO/Geografia- Organização,gestão E Produção Do Espaço"
"Universidade Federal de Minas Gerais/MESTRADO/Geografia- Organização,gestão E Produção Do Espaço",Universidade Federal de Minas Gerais/DOUTORADO/Geografia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade Federal do Rio Grande do Sul/MESTRADO/Recursos Hídricos E Saneamento Ambiental
Universidade Federal do Rio Grande do Sul/MESTRADO/Recursos Hídricos E Saneamento Ambiental,Universidade Federal do Rio Grande do Sul/DOUTORADO/Recursos Hídricos E Saneamento Ambiental
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Newton Paiva/GRADUACAO/Comunicação Social / Relações Públicas
Centro Universitário Newton Paiva/GRADUACAO/Comunicação Social / Relações Públicas,Universidade Federal de Minas Gerais/MESTRADO/Comunicação Social
Universidade Federal de Minas Gerais/MESTRADO/Comunicação Social,Universidade Federal de Minas Gerais/DOUTORADO/Comunicação Social
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciência Da Computação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia,University of Sussex/DOUTORADO/Cognitive Science
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica Ênfase Em Sistemas Eletrônicos
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Controle De Processos Industrais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Controle De Processos Industrais,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Manufatura Integrada Por Computador
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Manufatura Integrada Por Computador,Universidade de São Paulo/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de Itaúna/GRADUACAO/Química Licenciatura
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecatrônica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecatrônica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Estadual de Campinas/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Presidente Antônio Carlos/GRADUACAO/Sistemas De Informação
Universidade Presidente Antônio Carlos/GRADUACAO/Sistemas De Informação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Estadual de Campinas/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Radiologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Radiologia
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Radiologia,Universidade Federal de Minas Gerais/MESTRADO/Física
Universidade Federal de Minas Gerais/MESTRADO/Física,Universidade Federal de Minas Gerais/DOUTORADO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências Biológicas
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências Biológicas,Universidade Federal de Lavras/MESTRADO/Agroquímica
Universidade Federal de Lavras/MESTRADO/Agroquímica,Universidade Federal de Lavras/DOUTORADO/Ciências Dos Alimentos
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais - Faculdade de Educação/GRADUACAO/Pedagogia
Universidade Federal de Minas Gerais - Faculdade de Educação/GRADUACAO/Pedagogia,Universidade Federal de Minas Gerais/MESTRADO/Educação Em Ciências
Universidade Federal de Minas Gerais/MESTRADO/Educação Em Ciências,Universidade de São Paulo/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/ Especial De Formação De Professores
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/ Especial De Formação De Professores
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/ Especial De Formação De Professores,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Medicina Veterinária
Universidade Federal de Minas Gerais/GRADUACAO/Medicina Veterinária,Universidade Federal de Minas Gerais/MESTRADO/Ciências De Alimentos
Universidade Federal de Minas Gerais/MESTRADO/Ciências De Alimentos,Universidade Federal de Minas Gerais/DOUTORADO/Ciências De Alimentos
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Educação Física
Universidade Federal de Minas Gerais/GRADUACAO/Educação Física,Universidade Federal de Minas Gerais/MESTRADO/Educação Física
Universidade Federal de Minas Gerais/MESTRADO/Educação Física,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Do Esporte
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal do Ceará/GRADUACAO/Engenharia De Pesca
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,Universidade Federal do Ceará/MESTRADO/Educação
Universidade Federal do Ceará/MESTRADO/Educação,Universidade Federal do Ceará/DOUTORADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Fumec - Faculdade de Engenharia e Arquitetura/GRADUACAO/Engenharia Civil
Centro Universitário Fumec - Faculdade de Engenharia e Arquitetura/GRADUACAO/Engenharia Civil,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Materiais
Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Materiais,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Institut National Des Sciences Appliquées de Lyon/DOUTORADO/Thermique Et Energétique
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Eletrica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Eletrica,Instituto Tecnológico de Aeronáutica/MESTRADO/Engenharia Eletrônica E Computação
Instituto Tecnológico de Aeronáutica/MESTRADO/Engenharia Eletrônica E Computação,Instituto Nacional de Pesquisas Espaciais/DOUTORADO/Computação Aplicada
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Engenharia De Alimentos
Universidade Federal de Viçosa/GRADUACAO/Engenharia De Alimentos,Universidade Federal de Minas Gerais/MESTRADO/Ciências De Alimentos
Universidade Federal de Minas Gerais/MESTRADO/Ciências De Alimentos,Universidade Federal do Pará/DOUTORADO/Ciência E Tecnologia De Alimentos
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena,Escola de Engenharia de São Carlos da Universidade de São Paulo/MESTRADO/Engenharia De Transportes
Escola de Engenharia de São Carlos da Universidade de São Paulo/MESTRADO/Engenharia De Transportes,Escola Politécnica da Universidade de São Paulo/DOUTORADO/Engenharia De Transportes
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
Universidade Federal de Minas Gerais/GRADUACAO/Química,Universidade Federal de Minas Gerais/MESTRADO/Química
Universidade Federal de Minas Gerais/MESTRADO/Química,Universidade Federal de Minas Gerais/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Universidade Estadual de Campinas/MESTRADO/Engenharia Elétrica
Universidade Estadual de Campinas/MESTRADO/Engenharia Elétrica,Universidade Estadual de Campinas/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Matemática - Licenciatura
Universidade Federal de Ouro Preto/GRADUACAO/Matemática - Licenciatura,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia De Minas
