Identificador,Pontuação
,1
9724325154517942,1
9733326551339869,1
9750990320500414,1
9791024128849349,1
9809229657295478,2
9822253950704581,1
9823969602290263,3
9829323491224732,1
9830125817101491,1
,1
9851194732668580,1
9867180416451921,1
9878978991504080,1
9922035437261409,1
9930817600272042,2
9938779240198811,2
9943818682025940,3
9945547366139724,1
9946323056820290,1
9969006172190973,2
9983564276347827,1
