Identificador,Grande Área,Área
1519648219507868,CIENCIAS_BIOLOGICAS,Farmacologia
1541690930832179,CIENCIAS_AGRARIAS,Engenharia Agrícola
1542546016217813,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
1542888683453935,CIENCIAS_AGRARIAS,Agronomia
1545155828572491,CIENCIAS_SOCIAIS_APLICADAS,Economia
1545375399295814,,
1562752508279625,ENGENHARIAS,Engenharia Civil
1566937332957369,CIENCIAS_BIOLOGICAS,Farmacologia
1569160339136032,CIENCIAS_BIOLOGICAS,Zoologia
1570292449803538,CIENCIAS_DA_SAUDE,Saúde Coletiva
1570789033995989,ENGENHARIAS,Engenharia Elétrica
1574070947451743,CIENCIAS_BIOLOGICAS,Microbiologia
1582611321201876,CIENCIAS_BIOLOGICAS,Bioquímica
1589874577225604,CIENCIAS_BIOLOGICAS,Zoologia
1590479219133437,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
1595267911337018,CIENCIAS_EXATAS_E_DA_TERRA,Química
1596401343987246,CIENCIAS_HUMANAS,Sociologia
1598344003069716,CIENCIAS_HUMANAS,História
1620819894884512,CIENCIAS_AGRARIAS,Agronomia
1621284100545324,CIENCIAS_HUMANAS,Psicologia
1624929129014716,CIENCIAS_DA_SAUDE,Farmácia
1625799595721574,CIENCIAS_AGRARIAS,Ciência e Tecnologia de Alimentos
1635123002008397,CIENCIAS_DA_SAUDE,Odontologia
1638000107452454,CIENCIAS_EXATAS_E_DA_TERRA,Química
1638427678988227,CIENCIAS_AGRARIAS,Medicina Veterinária
1639913578860033,CIENCIAS_SOCIAIS_APLICADAS,Economia
1643671937739361,CIENCIAS_HUMANAS,Ciência Política
1647318644299561,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
1654356891323370,CIENCIAS_HUMANAS,Sociologia
1656881663114095,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação
1661935150054196,ENGENHARIAS,Engenharia Biomédica
1664190810210313,CIENCIAS_DA_SAUDE,Saúde Coletiva
1665294496138141,ENGENHARIAS,Engenharia Civil
1672274202055214,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
1682966336184874,CIENCIAS_DA_SAUDE,Saúde Coletiva
1685611433864910,CIENCIAS_EXATAS_E_DA_TERRA,Química
1694550938346997,CIENCIAS_BIOLOGICAS,Ecologia
1694551613184958,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
1701104582931307,ENGENHARIAS,Engenharia Civil
