CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
,,,Engenharia Agrícola,2003.0,3.0,Engenharia Mecânica,1979.0,2.0,Ciências Farmacêuticas,2007.0,2
,,,Farmácia,1990.0,3.0,Engenharia Mecânica,1984.0,2.0,Ciências Farmacêuticas,2006.0,2
,,,Geologia,1991.0,3.0,Geologia,1993.0,2.0,Ciências (bioquímica),1995.0,2
,,,História,1984.0,3.0,História,1990.0,2.0,Economia,2016.0,2
,,,História,1990.0,3.0,História,1991.0,2.0,Ciências Biológicas (entomologia),2004.0,2
,,,História,1991.0,3.0,História,1992.0,2.0,Biologia Celular E Molecular,2007.0,2
,,,História Natural,1970.0,3.0,História,1995.0,2.0,Biologia Celular E Molecular,2006.0,2
,,,Engenharia Civil,1987.0,3.0,História,1997.0,2.0,Biologia Celular E Molecular,2003.0,2
,,,Matemática,2007.0,3.0,História Social,1990.0,2.0,Biologia Celular E Molecular,2002.0,2
,,,Engenharia Elétrica,1983.0,3.0,Informática,1999.0,2.0,Engenharia Civil,1987.0,2
,,,Medicina Veterinária,1994.0,3.0,Agronomia (solos E Nutrição De Plantas),2000.0,2.0,Ciências Biológicas (entomologia),2000.0,2
,,,Ciências Sociais,2002.0,3.0,Matemática,1985.0,2.0,Ciências Biológicas (entomologia),1999.0,2
,,,Engenharia Civil,2006.0,3.0,Física,2014.0,2.0,Ecologia E Recursos Naturais,1996.0,2
,,,Medicina Veterinária,2001.0,3.0,Genética E Biologia Molecular,1975.0,2.0,Engenharia Elétrica,1988.0,2
,,,Engenharia Agronômica,1990.0,3.0,Genética E Biologia Molecular,1993.0,2.0,Ciência De Alimentos,2005.0,2
,,,Medicina Veterinária,2007.0,3.0,Biologia Vegetal,2005.0,2.0,Ciências Biológicas (entomologia),1982.0,2
,,,Oceanografia,1997.0,3.0,Engenharia Mecânica,1995.0,2.0,Ciência De Alimentos,1997.0,2
,,,Psicologia,1995.0,3.0,Engenharia Mecânica,2001.0,2.0,Ciências Biológicas (botânica),2004.0,2
,,,Psicologia,1998.0,3.0,Engenharia Elétrica,2005.0,2.0,Ciências Biológicas (botânica),2002.0,2
,,,Psicologia,2003.0,3.0,Engenharia Elétrica,2010.0,2.0,Engenharia Elétrica,1986.0,2
,,,Quimica,1975.0,3.0,Engenharia Elétrica,2013.0,2.0,Biologia Vegetal,1999.0,2
,,,Química,1987.0,3.0,Engenharia Elétrica E Informática Industrial,2001.0,2.0,Ciências Biológicas (zoologia),1996.0,2
,,,Química,1989.0,3.0,Engenharia Florestal,2004.0,2.0,Ciências Biológicas (zoologia),1995.0,2
,,,Economia,1986.0,3.0,Engenharia Florestal,2006.0,2.0,Educação,2000.0,2
,,,Engenharia Agronômica,1991.0,3.0,Engenharia Florestal,2008.0,2.0,Ciências Biológicas (zoologia),1989.0,2
,,,Ciência Da Computação,2002.0,3.0,Engenharia Florestal,2009.0,2.0,Ciências (microbiologia),2006.0,2
,,,Química Industrial,1985.0,3.0,Engenharia De Sistemas E Computação,1987.0,2.0,Ciências (microbiologia),2005.0,2
,,,Geologia,1987.0,3.0,Engenharia De Teleinformática,2006.0,2.0,Engenharia Eletrônica E Computação,1995.0,2
,,,Engenharia De Pesca,2001.0,2.0,Engenharia Elétrica,1974.0,2.0,Biologia Parasitária,2002.0,2
,,,Engenharia Agronômica,1985.0,2.0,Matemática,2007.0,2.0,Agronomia (solos E Nutrição De Plantas),2004.0,2
,,,Engenharia Agronômica,1987.0,2.0,Matemática,2011.0,2.0,Educação,1996.0,2
,,,Engenharia Elétrica/eletrônica,1999.0,2.0,Matemática,2012.0,2.0,Engenharia Elétrica E Informática Industrial,2005.0,2
,,,Engenharia Agronômica,1995.0,2.0,Matemática Aplicada,1998.0,2.0,Ciência E Engenharia Dos Materiais,2002.0,2
,,,Zootecnia,1996.0,2.0,Medicina Veterinária,1993.0,2.0,Agronomia (fitotecnia),2002.0,2
,,,Zootecnia,1999.0,2.0,Medicina Veterinária,1994.0,2.0,Educação,1988.0,2
,,,Zootecnia,2000.0,2.0,Medicina Veterinária,1998.0,2.0,Ciências Biológicas (biofísica),1997.0,2
,,,Ciências Biológicas,1974.0,2.0,Medicina Veterinária,2005.0,2.0,Engenharia Florestal,2013.0,2
,,,Zootecnia,2006.0,2.0,Meteorologia,2001.0,2.0,Engenharia Florestal,2009.0,2
,,,Ciências Biológicas,1976.0,2.0,Agronomia (fitotecnia),1993.0,2.0,Engenharia Florestal,2007.0,2
,,,Zootecnia,2008.0,2.0,Microbiologia,2000.0,2.0,Engenharia Florestal,2006.0,2
,,,Ciências Biológicas,1978.0,2.0,Modelagem Computacional,2008.0,2.0,Engenharia Florestal,2005.0,2
